period,pre_payment,charge_offs,payment,interest,principal,outstanding_balance
0,0.0,0.0,0.0,0.0,0.0,1000000.0
1,20000.0,0.0,37163.58335974055,16666.666666666668,20496.916693073883,1959503.083306926
2,39190.06166613852,0.0,74327.1667194811,32658.384721782102,41668.781997699,2878644.2396430885
3,57572.884792861776,0.0,111490.75007922165,47977.40399405148,63513.34608517018,3757558.0087650567
4,75151.16017530113,0.0,148654.3334389622,62625.96681275095,86028.36662621127,4596378.481963544
5,91927.56963927089,0.0,185817.91679870276,76606.30803272575,109211.60876597703,5395239.3035582965
6,107904.78607116593,7988.608215947522,222981.50015844332,89920.65505930495,133060.84509913836,6146285.064172044
7,122925.7012834409,15499.065822085005,260145.08351818388,102438.0844028674,157706.99911531646,6850153.297951202
8,137003.06595902404,22537.748159876584,297308.6668779244,114169.22163252004,183139.44524540438,7507473.038586898
9,150149.46077173794,29110.945566233535,334472.25023766496,125124.55064311497,209347.69959454998,8118864.932654376
10,162377.29865308752,35224.86450690832,371635.8335974055,135314.4155442396,236321.4180531659,8684941.351441214
11,173698.8270288243,40885.6286947767,408799.4169571461,144749.02252402026,264050.3944331258,9206306.501284488
12,184126.13002568975,46099.28019320943,445963.00031688664,153438.4416880748,292524.5586288118,9683556.532436775
13,193671.13064873556,50871.78050473232,483126.5836766272,161392.60887394627,321733.9748026809,9117279.646480627
14,182345.59292961258,55209.01164517083,483126.5836766272,151954.66077467712,331171.92290195,8548553.119003894
15,170971.0623800779,59116.77720347276,483126.5836766272,142475.88531673158,340650.69835989556,7977814.581060448
16,159556.29162120898,62600.80338739993,483126.5836766272,132963.57635100748,350163.0073256197,7405494.478726218
17,148109.88957452442,65666.74005527733,483126.5836766272,123424.90797877032,359701.67569785693,6832016.17339856
18,136640.32346797123,68320.16173398562,483126.5836766272,113866.93622330934,369259.64745331777,6257796.040743285
19,125155.92081486572,62577.96040743286,483126.5836766272,104296.60067905475,378829.9829975724,5691232.176523414
20,113824.6435304683,56912.32176523415,483126.5836766272,94853.86960872357,388272.71406790346,5132222.497159809
21,102644.44994319617,51322.22497159809,483126.5836766272,85537.04161933014,397589.54205729696,4580666.280187718
22,91613.32560375435,45806.66280187717,483126.5836766272,76344.43800312863,406782.1456734985,4036464.146108587
23,80729.28292217174,40364.64146108587,483126.5836766272,67274.40243514311,415852.181241484,3499518.0404838454
24,69990.3608096769,34995.18040483845,483126.5836766272,58325.30067473076,416379.6086287578,2978152.890640572
25,59563.05781281144,29781.52890640572,445963.00031688664,49635.881510676205,387905.4444330718,2500902.8594882833
26,50018.05718976566,25009.02859488283,408799.4169571461,41681.71432480472,358696.0282592028,2067179.745444432
27,41343.594908888634,20671.797454444317,371635.8335974055,34452.9957574072,328761.1634668597,1676403.1896142391
28,33528.06379228478,16764.03189614239,334472.25023766496,27940.053160237323,298110.52270428906,1328000.571221523
29,26560.01142443046,13280.00571221523,297308.6668779244,22133.34285369205,266753.64965109376,1021406.9044337835
30,20428.13808867567,10214.069044337835,260145.08351818388,17023.448407229727,234699.9607378155,756064.7365629545
31,15121.294731259091,7560.647365629546,222981.50015844332,12601.078942715909,201958.74684258876,531424.0476234772
32,10628.480952469545,5314.240476234772,185817.91679870276,8857.067460391287,168539.17496517283,346942.1512296001
33,6938.843024592002,3469.421512296001,148654.3334389622,5782.369187160001,134450.28987866355,202083.59681404853
34,4041.671936280971,2020.8359681404854,111490.75007922165,3368.059946900809,99701.01575918219,96320.07315044489
35,1926.401463008898,963.200731504449,74327.1667194811,1605.3345525074149,64300.15779383503,29130.313162096514
36,582.6062632419303,291.30313162096513,37163.58335974055,485.5052193682752,28256.40376723362,0.0
